Наименование,Адрес,Вредоносность,Регистрация в реестре,Используется арендованное помещение,Маскируют свою деятельность,Категория объекта,Колличество жалоб на предприятие
"ООО ""ФАБРИКА ФРОСТ""","454126, г. Челябинск, ул. Лесопарковая, д. 7, к. А, ОФИС 10",0,0,0,0,4,0
"ООО ПКФ ""СТРОЙБАЗА №1""","454080, г. Челябинск, пр-кт Ленина, д. 71, ПОМЕЩЕНИЕ 23",0,0,0,0,4,0
"ООО ""КОМТРАНС""","454082, г. Челябинск, Троицкий тракт, д. 72В, ОФИС 10",0,0,0,0,4,0
"ООО ""ИНТЕРПОЛИС""","454085, г. Челябинск, ул. Кулибина, д. 3Ж, ОФИС 205",1,1,1,1,1,0
"АО ""ЧЕЛЯБВТОРЦВЕТМЕТ""","454008, г. Челябинск, ул. Мастеровая, д. 8, ОФИС 1",1,1,1,1,3,0
"ООО ""ИНВЕСТ-ЛИЗИНГ""","454084, г. Челябинск, пр-кт Победы, 147, А",1,1,1,1,2,1
"ООО ""РОДНИК""","454092, г. Челябинск, ул. Курчатова, д. 6, 22",1,1,1,1,1,3
"ООО ""РГС ГРУПП""","454080, г. Челябинск, ул. Лесопарковая, д. 6, стр. 1, ОФИС 701",1,1,1,1,4,31
"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГОЛОС.ДЕВЕЛОПМЕНТ""","454100, г. Челябинск, ул. Аношкина, д. 12, НЕЖ.ПОМ. 13",1,1,1,1,2,40
"ООО ""НВК ""НИАГАРА"" ООО ""НАЦИОНАЛЬНАЯ ВОДНАЯ КОМПАНИЯ ""НИАГАРА""","454139, г. Челябинск, Бугурусланский пер., д. 1",1,0,1,1,2,29
"ООО ""ТД ЮЖУРАЛМЕХЗАВОД""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 10",1,0,1,0,2,24
"ООО ""ЧЕЛЯБГЭТ""","454091, г. Челябинск, ул. Красная, д. 65, КАБИНЕТ 3",1,0,1,0,3,12
"ООО ""ПРОМ-КОМПЛЕКТ""","454080, г. Челябинск, Свердловский пр-кт, д. 80, ПОМЕЩЕНИЕ 4",1,0,0,0,1,10
"ООО ТЦ ""ПЛАНЕТА АВТО""","454003, г. Челябинск, ул. Братьев Кашириных, д. 173К2, ОФИС 8",1,0,0,0,2,1
"ЗАО ""ВММ-1""","454047, г. Челябинск, ул. Павелецкая 2-я, 12, А",0,0,0,0,2,1
"ООО ""УРАЛ-СОЮЗ""","454091, г. Челябинск, Свердловский пр-кт, д. 57",0,0,0,0,3,1
"ООО ""ТРАНСЛИЗИНГ""","454090, г. Челябинск, ул. Труда, 64, А",1,0,1,0,3,1
"ООО ""УДС""","454010, г. Челябинск, ул. Енисейская, д. 71, ОФИС 1",1,0,1,0,4,2
"ООО ПКФ ""РЕГИОНРЕСУРСЫ""","454014, г. Челябинск, ул. Ворошилова, д. 35, ОФИС 3.6",1,0,1,0,1,7
"ООО ""МБК""","454087, г. Челябинск, ул. Рылеева, д. 45, к. Б, ПОМЕЩЕНИЕ 4",1,0,1,0,2,9
"ООО ""УРАЛСКО""","454080, г. Челябинск, Удачный пер., д. 12А",1,0,0,0,3,3
"ООО ""ДЕЛЬТАОЙЛ""","454084, г. Челябинск, пр-кт Победы, д. 158, НЕЖ. ПОМ. 4/2 ОФИС 323",1,0,1,0,2,3
"ООО ""ТТМ-1""","454003, г. Челябинск, ул. Чичерина, д. 52",1,0,1,1,3,5
"ООО ""СНАБИНВЕСТ""","454092, г. Челябинск, ул. Сулимова, д. 75, к. В, ОФИС 1",1,0,1,1,3,9
"ООО ""МИРОВЫЕ ВИНА""","454006, г. Челябинск, ул. Российская, д. 67, 1009",0,0,1,1,4,3
"АО""ЧАП""","454133, г. Челябинск, п. Аэропорт, АДМИНИСТРАТИВНОЕ ЗДАНИЕ УПРАВЛЕНИЯ АЭРОПОРТА",0,0,1,1,4,3
"ООО ""ЭКСЕЛЛЕНТ""","454047, г. Челябинск, ул. Сталеваров, д. 7, ОФИС 207",0,0,1,0,4,2
"ООО КОМПАНИЯ ""ПЛАНЕТА АВТО""","454003, г. Челябинск, ул. Братьев Кашириных, д. 137",0,0,1,0,4,1
"ООО ""ОМЕГА""","454082, г. Челябинск, ул. Игуменка, д. 181",1,0,0,0,4,4
"ООО ""АЛВИК""","454100, г. Челябинск, Комсомольский пр-кт, д. 128, НЕЖ.ПОМ. 12",1,0,0,0,2,1
"ООО ""ПТК""","454006, г. Челябинск, ул. Красноармейская, д. 55",0,0,0,0,3,2
"ООО ""АСИ""","454087, г. Челябинск, ул. Короленко, д. 83, ПОМЕЩ. 1 ОФИС 32",0,0,0,0,2,1
"ООО ""ТОРГАЛЬЯНС""","454031, г. Челябинск, ул. 50-летия ВЛКСМ, д. 12, ОФИС 302",0,0,1,0,4,2
"ООО ПИК ""ГЕНПЛАН""","454008, г. Челябинск, Свердловский пр-кт, д. 2, ОФИС 423",0,0,1,0,1,2
"ООО ""СПЕЦМАШ""","454048, г. Челябинск, ул. Энтузиастов, д. 30, ПОМЕЩЕНИЕ 25 КАБИНЕТ 514",1,0,1,0,3,2
"ООО ЗАВОД ""СИЛАЧ""","454904, г. Челябинск, ул. Челябинская, д. 44, СТР 4 ОФИС 1",1,0,1,0,2,2
"ООО ""ЧТЗ""","454007, г. Челябинск, пр-кт Ленина, д. 3, ОФИС 109",1,0,1,0,1,5
"ООО ""МВГ""","454007, г. Челябинск, ул. Артиллерийская, д. 134, ПОМЕЩЕНИЕ 38",1,0,1,1,4,5
"ЗАО ""ВММ""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 2",0,0,0,1,2,30
"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИКАР""","454091, г. Челябинск, ул. Цвиллинга, д. 25, ОФИС 214",0,0,0,1,2,12
"ООО ""ТД ""ЛД""","454010, г. Челябинск, ул. Енисейская, д. 56, ЭТ/ПОМ 2/1 СТРОЕНИЕ 3",0,0,0,1,2,12
"ООО ""АР-ТЭКС""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 33, ПОМЕЩЕНИЕ 1",0,0,1,1,3,13
"ООО ""АВТОДОРКОМПЛЕКТ""","454012, г. Челябинск, Копейское ш., д. 23",1,0,1,1,1,9
"ООО ""МЕГАСТРОЙ""","454084, г. Челябинск, пр-кт Победы, д. 158, ОФИС 302",1,1,1,1,2,3
"ООО ""ФПК""","454079, г. Челябинск, ул. Линейная, д. 96",1,1,1,0,2,3
ООО НПП ТЕХНОЛОГИЯ,"454901, г. Челябинск, п. Водрем 40, д. 25",1,1,1,0,3,2
"ООО ГК ""ЮЖНАЯ КОРОНА""","454028, г. Челябинск, ул. Ярославская, д. 1, НЕЖ.ПОМ. 3-3 ОФИС 302/4",1,1,1,0,3,1
"ООО ""ПОЛИОЛЕФИН-УРАЛ""","454091, г. Челябинск, ул.Степана Разина, д. 3, ОФИС 501",1,1,1,0,4,4
"ООО ""УРАЛ М КОМ""","454053, г. Челябинск, Троицкий тракт, д. 19, к. З, ОФИС 110",1,1,1,0,1,1
"ООО ТК ""ЭТАЛОННЕФТЕПРОДУКТ""","454112, г. Челябинск, ул. Пионерская, д. 7В, ПОМЕЩЕНИЕ 2",1,0,1,0,2,1
"ООО ""УРАЛТРАНССВЯЗЬ""","454080, г. Челябинск, ул. Либкнехта, д. 2, ОФИС 232",1,0,0,0,3,1
"ООО ""КАРПОИНТ""","454045, г. Челябинск, ул. Потребительская 2-я, д. 22, ОФИС 204",1,0,0,0,2,3
"ООО ""ЧЕЛЯБИНСК-ВОСТОК-СЕРВИС""","454100, г. Челябинск, Комсомольский пр-кт, д. 107-А, ОФИС 502, ЭТ.5",1,0,0,0,2,0
"АО ""ЧЭР""","454077, г. Челябинск, Бродокалмакский тракт, д. 20, к. Б",1,0,0,0,2,0
"ООО ""ЭММ""","454084, г. Челябинск, ул. Каслинская, д. 77, ОФИС 603",0,0,1,0,2,0
"ООО ""РУСЛАДА""","454112, г. Челябинск, ул. Чайковского, д. 20, ЛИТЕРА И, КОМНАТА 6/5",0,0,1,0,2,1
"ЗАО ""ВММ-2""","454008, г. Челябинск, ул. Сетевая, д. 7",0,1,1,0,2,1
"ООО ""ВЕГА""","454081, г. Челябинск, ул. Героев Танкограда, д. 28П, ОФИС 416",1,1,1,0,2,1
"ООО ""ТЕХ-МАКС""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 33, ПОМЕЩЕНИЕ 1",1,1,1,0,3,1
"ООО ""НП ""ЧЕЛНИНСКИЙ КАРТОН""","454048, г. Челябинск, ул. Блюхера, д. 9В, пом 5, ОФИС 402",1,1,1,0,4,2
"ООО ""ЛЕГИОН МОТОРС""","454010, г. Челябинск, Копейское ш., д. 88, СТРОЕНИЕ 9",1,1,1,0,4,7
"ООО ""ВЭББ""","454010, г. Челябинск, ул. Енисейская, д. 8Р",1,1,1,1,4,9
"ООО ТД ""ИНРОСТ""","454092, г. Челябинск, ул. Курчатова, д. 19К1, КОМ. 319",1,1,1,1,4,3
"АО ""ТЭО""","454128, г. Челябинск, ул. Чичерина, д. 23, 2",1,1,1,1,1,3
"ООО ""ПРОМЭКО""","454045, г. Челябинск, ул. Телеграфная, д. 46, ОФИС 5",1,1,1,1,3,5
"ООО ТД ""ТЕХНОАЛЬЯНС""","454045, г. Челябинск, ул. Маслобазовая, д. 7, ОФИС 7",1,1,1,1,2,9
"ООО ""БИГТОРГ""","454014, г. Челябинск, ул. Ворошилова, д. 17, ПОМЕЩЕНИЕ 11, ОФИС 1",1,1,1,1,1,3
"ООО ""ДИНАМИКА""","454080, г. Челябинск, ул. Энгельса, д. 44, Д, НЕЖ.ПОМ.12",1,1,1,0,4,3
"ООО АГРОКОМПЛЕКС ""ЧУРИЛОВО""","454079, г. Челябинск, ул. Трашутина, д. 8, стр. 1, КАБИНЕТ 12",0,1,1,0,2,5
"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ФЛАЙ ПЛЭНИНГ ПРИВИЛЕГИЯ""","454091, г. Челябинск, ул. Кирова, д. 159, ОФИС 909",0,1,1,0,2,31
"ООО ""ТРАКИЯ""","454008, г. Челябинск, Свердловский тракт, 5-Р, Строение 3, ОФИС 1",1,1,0,0,2,12
"ООО МЦ ""ЛОТОС""","454007, г. Челябинск, пр-кт Ленина, д. 17",1,1,0,0,3,12
"ООО ""АВТОГАРАНТИЯ""","454010, г. Челябинск, Копейское ш., д. 82",1,1,1,0,3,10
"ООО ""ЮГ-УРАЛ ИНДУСТРИЯ""","454085, г. Челябинск, пр-кт Ленина, д. 2А, ОФИС 7",1,0,1,1,3,1
"ООО ""ПТ-СЕРВИС""","454007, г. Челябинск, ул. 40-летия Октября, д. 19, ОФИС 2",1,0,1,1,3,1
"ООО ""ЛД ПРАЙД""","454010, г. Челябинск, ул. Енисейская, д. 56, стр. 1",1,0,1,1,3,1
"ООО ПТК ""КОЛОС""","454007, г. Челябинск, ул. Артиллерийская, д. 124, ОФИС 113",1,0,1,1,3,1
"ООО ""РУСМЕТ""","454008, г. Челябинск, ул. Автодорожная, д. 10, ОФИС 15,16",1,0,1,1,3,1
"ООО ""ПРОД-ТОРГ""","454053, г. Челябинск, Троицкий тракт, д. 11Г, ОФИС 205",0,0,1,1,3,1
"ООО ""ИГРОМАРКЕТ""","454007, г. Челябинск, ул. Артиллерийская, д. 124А, ОФИС 51",0,0,1,1,3,1
"ООО ""НАФТА""","454090, г. Челябинск, ул. Труда, д. 64А, ОФИС 402",0,0,0,1,3,2
"ООО ""БРИГАНТИНА""","454038, г. Челябинск, ш. Металлургов, д. 7П, ОФИС 14/1",0,0,0,1,3,12
"ООО ТД ""УРАЛКРАН""","454007, г. Челябинск, ул. Артиллерийская, д. 134, ОФИС 207",1,0,0,1,3,10
"ООО ""ЭСК НОВАЯ ЭНЕРГИЯ""","454080, г. Челябинск, ул. Энтузиастов, д. 26А, ОФИС 305",1,0,0,1,2,1
"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ФЛАЙ ПЛЭНИНГ ПАРТНЕРС""","454091, г. Челябинск, ул. Кирова, д. 159, ОФИС 908",0,0,0,1,3,1
"ООО ФИРМА ""МЭРИ""","454007, г. Челябинск, ул. Артиллерийская, д. 2, ОФИС 1",1,0,0,1,4,1
"ООО ""РИФТ""","454091, г. Челябинск, пр-кт Ленина, д. 26-А",1,0,1,1,4,1
"ООО ""ЧЕШСКИЙ ДОМ""","454003, г. Челябинск, ул. Братьев Кашириных, д. 126, стр. 1",1,0,1,1,4,2
"ООО ФИРМА ""ИНТЕРСВЯЗЬ""","454112, г. Челябинск, пр-кт Победы, д. 288, ОФИС 702",1,0,1,0,4,7
"ООО ""ЧЕЛЯБИНСКИЙ ЗАВОД СТАЛЕЙ И СПЛАВОВ""","454078, г. Челябинск, ул. Дзержинского, д. 125, Неж.Пом. 100, ОФИС 21",1,0,1,0,1,9
"ООО ТД ""ЗЛК""","454008, г. Челябинск, Свердловский тракт, д. 7",1,0,1,0,3,3
"ООО ЗАВОД ""СТИ""","454091, г. Челябинск, ул. Труда, д. 78, ОФИС 816",1,0,1,0,2,3
"ООО ""РАВАНИ-РУС""","454010, г. Челябинск, ул. Енисейская, д. 31, лит. К, ПОМЕЩЕНИЕ 2",0,0,1,0,1,5
"РМК-ТРАНС, ООО","454119, г. Челябинск, ул. Энергетиков, д. 19, 95",0,0,0,0,4,5
"ООО ""ОРИОН""","454036, г. Челябинск, ул. Радонежская, д. 6, ПОМЕЩ. 4 КАБИНЕТ 107",1,0,0,0,2,5
"ООО ""ГСУ""","454080, г. Челябинск, ул. Татьяничевой, д. 12Б, ПОМЕЩЕНИЕ 65/1",1,0,1,0,4,30
"ООО ""ПРОГРЕСС""","454090, г. Челябинск, пр-кт Ленина, д. 21, В, 406",1,1,1,0,4,12
"ООО ""ЛМЗ""","454048, г. Челябинск, ул. Загородная, д. 18, ОФИС 5",1,1,1,0,4,12
"ООО ""СЕЙХО МОТОРС СПОРТ""","454003, г. Челябинск, ул. Братьев Кашириных, д. 135, ПОМЕЩЕНИЕ 4",1,1,1,0,4,13
"ООО ""КОРПОРАЦИЯ ""УРАЛНЕФТЬ""","454048, г. Челябинск, ул. Тарасова, д. 38, ОФИС 7",1,1,1,1,4,5
"ООО ""ДЕЗ КАЛИНИНСКОГО РАЙОНА""","454084, г. Челябинск, ул. Калинина, д. 11А",0,0,1,1,4,5
"ООО ""АГРОЛОГИСТИК""","454080, г. Челябинск, пр-кт Ленина, д. 77, ПОМЕЩЕНИЕ 52",0,1,0,1,4,2
"ООО НТЦ ""ПРИВОДНАЯ ТЕХНИКА""","454007, г. Челябинск, ул. 40-летия Октября, д. 19",0,1,1,1,4,3
"ООО ""РЕГИОН АВТОТЕХНИКА""","454091, г. Челябинск, пр-кт Ленина, д. 21Б, ОФИС 107",0,1,1,1,4,3
"АО "" ЧЕЛЯБИНСКГОРГАЗ ""","454087, г. Челябинск, ул. Рылеева, д. 8",1,1,1,1,4,3
"ООО ""ГАЛЕРЕЯ""М""","454081, г. Челябинск, ул. Артиллерийская, д. 102А",1,1,1,1,4,3
"ООО ""МЯСНОЙ РЕГИОН""","454036, г. Челябинск, ул. Радонежская, д. 12А, ПОМЕЩ. 11",1,1,0,1,4,3
"ООО ТД ""ВЕСТА""","454106, г. Челябинск, ул. Островского, д. 30, Неж.Пом. 164, ОФИС 206",1,0,0,0,1,2
"ООО ""УРАЛЬСКИЙ БОГАТЫРЬ""","454078, г. Челябинск, ул. Гагарина, д. 48, ОФИС 1",1,0,0,0,2,20
"ООО ""МЕТАЛЛ-СТРОЙ""","454012, г. Челябинск, Копейское ш., д. 36В, ОФИС 1",1,0,1,0,3,0
"ООО ""НСТК""","454090, г. Челябинск, ул. Труда, д. 78, ПОМЕЩ. 5.3",1,0,1,0,2,0
"ООО ""ЗАВОД СПЕЦМАШ""","454048, г. Челябинск, ул. Энтузиастов, д. 30, ПОМЕЩЕНИЕ 25 КАБИНЕТ 514",1,1,1,1,2,0
"ООО ""УРАЛЬСКИЕ ПАРТНЕРЫ""","454053, г. Челябинск, Троицкий тракт, д. 48Б, Помещение 11, ОФИС 104/1",1,1,1,1,2,0
"ООО ""ОРАНЖ АППС""","454091, г. Челябинск, ул. Кирова, д. 159, ОФИС 1105А",1,1,1,0,2,5
"ООО УК ""ПЖРЭУ КУРЧАТОВСКОГО РАЙОНА""","454106, г. Челябинск, ул. Неглинная, д. 43, ОФИС 218",1,1,1,1,2,17
"ООО ПК ""ЧЭП""","454021, г. Челябинск, ул. Братьев Кашириных, д. 73",1,1,1,1,2,27
"ООО ""ЛУИДОРГАРАНТИЯ-ЧЕЛЯБИНСК""","454119, г. Челябинск, Копейское ш., д. 27Ж, ОФИС 1",0,0,1,1,2,34
"ООО ""ДЕЛЬТА-М""","454053, г. Челябинск, Троицкий тракт, д. 11Л, ПОМЕЩЕНИЕ 8 ОФИС 806",1,0,1,1,3,0
"ООО ""НОВАИНВЕСТ""","454045, г. Челябинск, ул. Телеграфная, 48",1,0,1,1,4,0
"ООО ""РТК""","454136, г. Челябинск, ул. Молодогвардейцев, д. 31, ОФИС 201",1,1,1,1,4,0
"ООО ""РИП""","454047, г. Челябинск, ул. Сталеваров, д. 7, ОФИС 314-А",1,1,1,1,4,0
"ООО ПКФ ""НЕФТЕМАШДЕТАЛЬ""","454080, г. Челябинск, пр-кт Ленина, д. 81, ПОМЕЩЕНИЕ 15 ОФИС 1",1,1,0,0,4,0
"ООО ""АДВЕНТА""","454100, г. Челябинск, Комсомольский пр-кт, д. 90, ОФИС 515",0,1,0,0,1,0
"ООО ""СТИМУЛ""","454008, г. Челябинск, ул. Цинковая, д. 2А, ПОМЕЩ. 4 ОФИС 4",0,1,0,1,3,1
"ООО ""ИНТЕРСЕРВИС ЛТД""","454020, г. Челябинск, ул. Образцова, д. 5, КВАРТИРА 33",0,1,0,1,2,3
"ООО ""ПРОМХОЛДИНГ""","454084, г. Челябинск, пр-кт Победы, д. 168, ОФИС 41",0,1,1,1,1,0
"ООО ""АГРОСИСТЕМА""","454008, г. Челябинск, ул. Производственная, д. 2, ОФИС 2",1,1,1,1,4,1
"ООО ""АТОМ ОЙЛ""","454028, г. Челябинск, ул. Ярославская, д. 1, ОФИС 405",1,1,1,1,2,2
"ЗАО ""ИНТЕРСВЯЗЬ-2""","454138, г. Челябинск, Комсомольский пр-кт, д. 38Б",0,1,1,1,2,1
"ООО ""УСМ""","454138, г. Челябинск, пр-кт Победы, д. 288, ОФИС 503",1,1,1,0,2,9
"ООО ""АККУМУЛЯТОРНЫЙ ДОМ""","454053, г. Челябинск, Троицкий тракт, д. 60-А, КАБИНЕТ 01",1,1,0,0,2,3
"ООО ""НСМ""","454090, г.Челябинск, ул.Труда, д.78, ПОМЕЩЕНИЕ 7.15",1,0,0,1,2,3
"ООО ""ЮЖУРАЛСЕРВИС""","454090, г. Челябинск, пр-кт Ленина, д. 27, СТРОЕНИЕ 7 ПОМЕЩЕНИЕ 9",1,0,0,0,2,2
"ООО ""ЭЛЕКТРОСТРОЙ""","454087, г. Челябинск, ул. Полетаевская, д. 2А, ОФИС 28",1,0,0,1,2,1
"ООО ""ТД""ИТОН""","454053, г. Челябинск, ул. Короленко, д. 79, ОФИС 28",1,1,1,1,2,4
"ООО ""МЕТКОМ""","454038, г. Челябинск, ул. Автоматики, д. 9",1,1,1,1,2,1
"ООО ""АЛСО""","454038, г. Челябинск, ул. Складская, д. 1",0,1,1,1,2,2
"ООО ""СПЕЦСТРОЙЭНЕРГО""","454080, г. Челябинск, ул. Энтузиастов, д. 29А, НЕЖ. ПОМ. 6,7",0,1,1,1,3,1
"ООО ""НЕЙРОНЕК""","454100, г. Челябинск, пр-кт Победы, д. 388, КАБ/ОФ 21/306",1,1,1,0,4,2
"ООО ""НЕРУДТЕХНОЛОГИИ""","454092, г. Челябинск, ул. Елькина, д. 81А, ОФИС 9",1,1,1,0,4,2
"ООО КОМПАНИЯ ""ТОРГТЕХНИКА""","454008, г. Челябинск, Свердловский пр-кт, 30, Б",1,1,1,0,4,2
"ООО ""УНК""","454138, г. Челябинск, ул. Молодогвардейцев, д. 7, НЕЖ.ПОМ. 1 ОФИС 210",1,1,1,0,4,2
"ООО ""ЗАВОД ПРОМЫШЛЕННОГО ОБОРУДОВАНИЯ""","454010, г. Челябинск, Копейское ш., д. 50И",1,1,1,1,1,5
"ЗАО МЗ ""МЕТАБ""","454008, г. Челябинск, ул. Автодорожная, д. 10А",1,1,0,0,3,3
"ООО ""ВЫМПЕЛКОМ""","454138, г. Челябинск, пр-кт Победы, д. 292А, ОФИС 36",1,1,0,0,3,5
"ООО ""МЕЧЕЛ-ТРАНС АВТО""","454047, г. Челябинск, ул. Павелецкая 2-я, д. 32, КАБИНЕТ 307",1,1,0,0,3,9
"ООО ТОРГОВЫЙ ДОМ ""РИ-СПЕЦТЕХНИКА""","454014, г. Челябинск, ул. Ворошилова, д. 10, ОФИС 207",1,1,1,0,3,3
"ООО ""КАПИТАЛСТРОЙ""","454119, г. Челябинск, ул. Кронштадтская, д. 17, ОФИС 5",1,1,1,1,3,3
"ООО ""ПРОМГРАД""","454100, г. Челябинск, ул. Рязанская, д. 12, ПОМЕЩЕНИЕ 19",1,1,1,1,3,2
"ООО ""ПРОМЕТ М""","454036, г. Челябинск, ул. Радонежская, д. 40А, ОФИС 2/2",1,1,1,1,3,1
"ООО ""ЧФЗ""","454010, г. Челябинск, ул. Енисейская, д. 53Ж",0,1,1,1,3,4
"ООО ""БЕТОТЕК""","454112, г. Челябинск, пр-кт Победы, д. 288, ОФИС 103А",0,0,0,1,3,1
